X,Y,OBJECTID,SCHOOL_ID,NAME,ADDRESS,COMMUNITY,CATEGORY,LOWEST_GRADE,HIGHEST_GRADE,LANGUAGE,SCHOOL_BOARD,WEBSITE,COMMENTS,LONGITUDE,LATITUDE
591103.412899999879301,4783950.784299999475,106,37,Helen Detwiler Elementary School,320 Brigade Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.8785899347443,43.202841520818254
587779.172199999914,4790196.639799999073,229,353,McMaster Medical Centre - Mental Health Unit,1200 Main Street West,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Care & Treatment,-79.91850747318325,43.25946744759035
587853.255699999630451,4790174.811599999666,230,354,McMaster Medical Centre - Pediatric Unit,1200 Main Street West,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Care & Treatment,-79.91759836090151,43.259262294364106
592223.819299999624491,4786800.615,231,356,White Rabbit Treatment Homes - #2,465 East 16th Street,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Care & Treatment,-79.86432518504213,43.22836248255884
592231.756799999624491,4786822.4431,232,355,Woodview Mental Health & Autism - Hill Park,465 East 16th Street,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Treatment,-79.8642238096083,43.22855802970455
593137.937099999748,4788248.1938,233,357,White Rabbit Treatment Homes - #1,529 Concession Street,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Care & Treatment,-79.85282617055088,43.241282613631455
592242.083999999798834,4786764.7201,234,358,Gateway Alt Ed Centre Hill Park,465 East 16th Street,Hamilton,Alternative Education,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.86410631233136,43.22803708944814
589867.561099999584258,4786727.184499999508,200,55,Westwood Elementary School,9 Lynbrook Drive,Hamilton,Elementary School,Kindergarten,5,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.89334751717568,43.22798573088327
587183.869900000281632,4787785.839099999517,203,117,St. Teresa of Avila Elementary School,171 San Remo Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.92622206908577,43.237831838421215
601840.928299999795854,4787098.2089,204,143,St. Agnes Elementary School,80 Colcrest Street,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.74586847402234,43.22980475813038
590096.291600000113249,4789166.0633,205,161,Beth Jacob Hebrew School,375 Aberdeen Avenue,Hamilton,Alternative Education,Kindergarten,12,English,,http://www.bethjacobsynagogue.ca/hebrew_school.html,,-79.89013287797344,43.24991572892263
594494.456699999981,4788324.601299999282,206,5,Notre-Dame Elementary School,400 Cumberland Avenue,Hamilton,Elementary School,Kindergarten,8,French,Conseil Scolaire Catholique MonAvenir,https://www.cscmonavenir.ca/,,-79.8361082689143,43.24180174268812
590400.218500000424683,4787849.6665,207,314,Turning Point Alt Ed Centre Fennell Ave,135 Fennell Avenue West,Hamilton,Adult Learning,,,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.8866054716723,43.238027823560245
598014.099399999715388,4787465.980399999768,208,262,CNIB - Literacy for Deaf/Blind Adults Centre,115 Parkdale Avenue South,Hamilton,Alternative Education,,,English,,http://www.cnib.ca,,-79.79291858195296,43.2336225852993
588052.2418,4788026.6727,209,252,Mountain Learning Centre,565 Sanatorium Road,Hamilton,Adult Learning,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/cce/,,-79.91549039841118,43.23989920625962
589987.747399999760091,4787403.011099999771,210,198,École élémentaire catholique Monseigneur-de-Laval,135 Bendamere Avenue,Hamilton,Elementary School,Kindergarten,8,French,Conseil Scolaire Catholique MonAvenir,https://www.cscmonavenir.ca,,-79.89175753177126,43.23405589822166
588043.876400000415742,4784279.737299999222,211,213,St. Thérèse of Lisieux Elementary School,1760 Garth Street,Hamilton,Elementary School,Kindergarten,8,English,,https://www.hwcdsb.ca,,-79.91619122564059,43.20616606113965
596315.8843,4788193.5994,212,265,Woodview Mental Health & Autism - Delta School,1284 Main Street East,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://woodview.ca/day-treatment-hamilton/,Treatment,-79.81370123499656,43.2403919284256
592457.136300000362098,4789835.1311,213,251,King William Learning Centre,"225 King William Street, 3rd Floor",Hamilton,Adult Learning,,,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.86094369078258,43.255653451421836
594124.640399999917,4785387.03299999982,215,324,Nora Frances Henderson Secondary School,75 Palmer Road,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.84116358175727,43.21540140701833
592690.381199999712408,4789125.033099999651,218,343,Bernhart House - Dawn Patrol,125 Victoria Ave South,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Custody,-79.85819016412195,43.24923186325069
594056.286600000225008,4789400.4461,219,344,Bridge Program - Dawn Patrol,837 King Street East,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Treatment and Corrections,-79.84132055158561,43.25154219698211
596428.917700000107288,4787302.277599999681,220,345,George R. Force,1760 King Street East,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Custody,-79.81246517941415,43.23235311055924
590930.162499999627471,4789275.285199999809,221,346,Grace Haven,138 Herkimer Street,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Care & Treatment,-79.87984458599023,43.25079893552347
594381.314000000245869,4789967.043099999428,222,347,John Howard Non-Res Attendance Centre,654 Barton Street East,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Corrections,-79.8372202871707,43.25660255173317
594829.227199999616,4789277.504499999806,223,0,Bernie Custis Secondary School,1055 King St E,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca/berniecustis/,,-79.83182178597768,43.250338542599465
592215.496000000275671,4786770.582699999213,224,348,Hatts Off Program,465 East 16th Street,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Care & Treatment,-79.86443268107902,43.22809312039298
592080.682900000363588,4789306.888299999759,226,350,CTCC Lynwood Charlton Centre Augusta Compass,121 Augusta Street,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Care & Treatment,-79.86566891963248,43.250943805601395
588284.714800000190735,4787050.6936,228,352,CTCC Lynwood Charlton Centre Upper Paradise,526 Upper Paradise Road,Hamilton,Section 23 Program,,,English,Hamilton-Wentworth District School Board,http://www.hwdsb.on.ca/altered/ctc-programs/,Care & Treatment,-79.9127838522327,43.23108519597211
